,AVIR
Price/Earnings (TTM),13.10642
Price/Sales (TTM),2.03257
Price/Book (MRQ),0.589
Price/Cash Flow (TTM),10.90597
5yr Low,4.45
5yr High,94.17
5yr Avg Return,-0.2457666666666667
Short Int Current Month,1959005.0
Short Int Prev Month,2273795.0
Short Int Pct of Float,0.025863
Days to Cover,2.91933
Float,75.70381
Shares Outstanding,83.28764
Institutions Holding Shares,172.0
% Held by Institutions,0.688018
FCF Growth 5yr,0.09886437431002008
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
