,AVIR
% Above Low,0.053899999999999997
% Held by Institutions,0.688
52-Wk Range,['4.45 - 9.79']
Annual Dividend $,
Annual Dividend %,
Ask,5.0
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,
Bid,4.26
Bid Size,200.0
Closing Price,4.69
Day Change $,0.0
Day Change %,0.0
Day High,4.77
Day Low,4.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.36
Ex-dividend Date,No dividend
Historical Volatility,0.601
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,389.4M
"P/E Ratio (TTM, GAAP)",13.11
Prev Close,4.69
Shares Outstanding,83.3M
Short Interest,0.0259
Today's Open,4.7
Volume,120714.0
Volume 10-day Avg,443430.0
Volume Past Day,(Light)
