,S
Price/Earnings (TTM),
Price/Sales (TTM),15.15982
Price/Book (MRQ),2.63189
Price/Cash Flow (TTM),
5yr Low,15.43
5yr High,78.53
5yr Avg Return,-0.29750000000000004
Short Int Current Month,10410537.0
Short Int Prev Month,12701245.0
Short Int Pct of Float,0.0515955
Days to Cover,2.04061
Float,204.6265
Shares Outstanding,280.9156
Institutions Holding Shares,320.0
% Held by Institutions,0.861895
FCF Growth 5yr,0.2631916650784576
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
