,S
% Above Low,0.033100000000000004
% Held by Institutions,0.8619
52-Wk Range,['15.43 - 59.54']
Annual Dividend $,
Annual Dividend %,
Ask,15.94
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,
Bid,15.92
Bid Size,500.0
Day Change $,-0.38
Day Change %,-0.0233
Day High,16.24
Day Low,15.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.2
Ex-dividend Date,No dividend
Historical Volatility,0.856
Last (size),1000.0
Last (time),1:31p ET 11/28/22
Market Cap,4.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.32
Price,15.94
Shares Outstanding,280.9M
Short Interest,0.0516
Today's Open,16.09
Volume Past Day,(Light)
