,PRVA
Next Earnings Announcement,2023-03-21 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.854922279792746
Growth 1yr High Est,-0.8682634730538922
Growth 1yr Consensus Est,-0.8615928764233192
Growth 2yr Low Est,-0.7846039970392302
Growth 2yr High Est,-1.5932226456178553
Growth 2yr Consensus Est,-1.1889133213285428
Growth 5yr Low Est,-0.7846039970392302
Growth 5yr High Est,-1.5932226456178553
Growth 5yr Consensus Est,-1.1889133213285428
Growth 5yr Actual/Est,-1.0516939890710382
Growth 3yr Historic,0.0
