,PRVA
% Above Low,0.2802
% Held by Institutions,0.5935
52-Wk Range,['17.99 - 44.64']
Annual Dividend $,
Annual Dividend %,
Ask,23.05
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,23.01
Bid Size,200.0
Day Change $,0.11
Day Change %,0.0048
Day High,23.56
Day Low,22.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.36
Ex-dividend Date,No dividend
Historical Volatility,0.663
Last (size),100.0
Last (time),11:39a ET 11/28/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,22.92
Price,23.03
Shares Outstanding,114.3M
Short Interest,0.0236
Today's Open,22.98
Volume Past Day,(Light)
