,PRVA
Price/Earnings (TTM),
Price/Sales (TTM),2.06546
Price/Book (MRQ),5.54721
Price/Cash Flow (TTM),
5yr Low,17.99
5yr High,50.77
5yr Avg Return,-0.13795
Short Int Current Month,2448779.0
Short Int Prev Month,2825263.0
Short Int Pct of Float,0.023639399999999998
Days to Cover,2.27126
Float,103.5668
Shares Outstanding,114.2281
Institutions Holding Shares,261.0
% Held by Institutions,0.59346
FCF Growth 5yr,2.1345849783667252
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
