,COOP
Price/Earnings (TTM),3.12898
Price/Sales (TTM),1.14028
Price/Book (MRQ),0.77318
Price/Cash Flow (TTM),2.8039
5yr Low,4.31
5yr High,52.34
5yr Avg Return,0.3797499999999999
EPS Growth 5yr,0.3549609
Revenue Growth 5yr,2.612109
Dividend Growth 5yr,
Short Int Current Month,2927794.0
Short Int Prev Month,3386460.0
Short Int Pct of Float,0.0423967
Days to Cover,4.34299
Float,69.05709
Shares Outstanding,70.56473
Institutions Holding Shares,347.0
% Held by Institutions,0.882945
FCF Growth 5yr,0.4534536346249749
