,COOP
% Below High,0.1399
% Held by Institutions,0.8829
52-Wk Range,['35.81 - 52.34']
Annual Dividend $,
Annual Dividend %,
Ask,48.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,45.03
Bid Size,100.0
Closing Price,45.02
Day Change $,0.77
Day Change %,0.0174
Day High,45.33
Day Low,44.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",14.39
Ex-dividend Date,No dividend
Historical Volatility,0.42
Last (size),33.0
Last (time),1:00p ET 11/25/22
Market Cap,3.2B
"P/E Ratio (TTM, GAAP)",3.13
Prev Close,44.25
Shares Outstanding,70.6M
Short Interest,0.0424
Today's Open,44.13
Volume,274081.0
Volume 10-day Avg,489751.0
Volume Past Day,(Light)
