,COOP
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.729665071770335
Growth 1yr High Est,-0.71280276816609
Growth 1yr Consensus Est,-0.7212339199682125
Growth 2yr Low Est,-0.05509802261083108
Growth 2yr High Est,0.20584761190089063
Growth 2yr Consensus Est,0.07537479464502977
Growth 5yr Low Est,-0.05303842387176375
Growth 5yr High Est,0.1253667060429371
Growth 5yr Consensus Est,0.03616414108558667
Growth 5yr Actual/Est,0.4132935988444628
Growth 3yr Historic,0.3492213254518587
