,ENVX
% Above Low,0.741
% Held by Institutions,0.5453
52-Wk Range,['7.26 - 36.99']
Annual Dividend $,
Annual Dividend %,
Ask,12.74
Ask Size,1000.0
B/A Ratio,0.5
B/A Size,500x1000
Beta,
Bid,12.02
Bid Size,500.0
Closing Price,12.64
Day Change $,0.19
Day Change %,0.015300000000000001
Day High,12.73
Day Low,12.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.86
Ex-dividend Date,No dividend
Historical Volatility,1.077
Last (size),90.0
Last (time),12:59p ET 11/25/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,12.45
Shares Outstanding,157.1M
Short Interest,0.1065
Today's Open,12.3
Volume,731922.0
Volume 10-day Avg,2925227.0
Volume Past Day,(Light)
