,ENVX
Price/Earnings (TTM),
Price/Sales (TTM),388.6855
Price/Book (MRQ),5.5416
Price/Cash Flow (TTM),
5yr Low,7.26
5yr High,39.48
5yr Avg Return,0.23494999999999996
Short Int Current Month,13580122.0
Short Int Prev Month,13925304.0
Short Int Pct of Float,0.10645810000000001
Days to Cover,2.06265
Float,127.5258
Shares Outstanding,157.104
Institutions Holding Shares,264.0
% Held by Institutions,0.545343
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
