,CHGG
Price/Earnings (TTM),14.49231
Price/Sales (TTM),4.65908
Price/Book (MRQ),3.42283
Price/Cash Flow (TTM),9.35875
5yr Low,13.83
5yr High,115.21
5yr Avg Return,0.30228333333333324
EPS Growth 5yr,
Revenue Growth 5yr,0.2502719
Dividend Growth 5yr,
Short Int Current Month,4683343.0
Short Int Prev Month,5390538.0
Short Int Pct of Float,0.0381479
Days to Cover,1.73733
Float,122.7679
Shares Outstanding,125.4773
Institutions Holding Shares,377.0
% Held by Institutions,0.940763
FCF Growth 5yr,0.07949681196925491
