,CHGG
% Below High,0.2412
% Held by Institutions,0.9408
52-Wk Range,['15.66 - 37.64']
Annual Dividend $,
Annual Dividend %,
Ask,29.49
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,27.4
Bid Size,100.0
Closing Price,28.56
Day Change $,0.0
Day Change %,0.0
Day High,28.94
Day Low,28.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.97
Ex-dividend Date,No dividend
Historical Volatility,0.742
Last (size),1000.0
Last (time),5:00p ET 11/25/22
Market Cap,3.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.49
Prev Close,28.56
Shares Outstanding,125.5M
Short Interest,0.0381
Today's Open,28.44
Volume,375164.0
Volume 10-day Avg,1231871.0
Volume Past Day,(Light)
