,PODD
Price/Earnings (TTM),1331.61
Price/Sales (TTM),16.4056
Price/Book (MRQ),47.6447
Price/Cash Flow (TTM),259.1751
5yr Low,67.43
5yr High,324.81
5yr Avg Return,0.32295
EPS Growth 5yr,
Revenue Growth 5yr,0.2452402
Dividend Growth 5yr,
Short Int Current Month,2265919.0
Short Int Prev Month,2665049.0
Short Int Pct of Float,0.0327922
Days to Cover,2.63811
Float,69.12982
Shares Outstanding,69.4487
Institutions Holding Shares,694.0
% Held by Institutions,1.020631
FCF Growth 5yr,-0.6762273884915394
