,GPK
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.9345794392523361
Growth 1yr High Est,0.10232558139534897
Growth 1yr Consensus Est,0.5184525103238425
Growth 2yr Low Est,0.4986906858097431
Growth 2yr High Est,0.12500245314493186
Growth 2yr Consensus Est,0.31184656947733747
Growth 5yr Low Est,0.31098401646214974
Growth 5yr High Est,0.3501042485504879
Growth 5yr Consensus Est,0.33054413250631887
Growth 5yr Actual/Est,0.35142211282233593
Growth 3yr Historic,0.07630336617405581
