,GPK
% Below High,0.053399999999999996
% Held by Institutions,0.9682999999999999
52-Wk Range,['17.63 - 24.07']
Annual Dividend $,0.4
Annual Dividend %,0.0176
Ask,23.35
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,22.78
Bid Size,200.0
Closing Price,22.78
Day Change $,0.2
Day Change %,0.0089
Day High,22.89
Day Low,22.58
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",1.31
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.31
Last (size),49.0
Last (time),5:00p ET 11/25/22
Market Cap,7.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.42
Prev Close,22.58
Shares Outstanding,307.1M
Short Interest,0.0263
Today's Open,22.61
Volume,736407.0
Volume 10-day Avg,3168845.0
Volume Past Day,(Light)
