,GPK
Price/Earnings (TTM),17.41817
Price/Sales (TTM),0.77374
Price/Book (MRQ),3.57982
Price/Cash Flow (TTM),7.34119
5yr Low,10.04
5yr High,24.07
5yr Avg Return,0.10096666666666666
EPS Growth 5yr,-0.006975
Revenue Growth 5yr,0.10733430000000001
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,7989911.0
Short Int Prev Month,7858760.0
Short Int Pct of Float,0.026309100000000002
Days to Cover,2.48818
Float,303.6514
Shares Outstanding,307.1181
Institutions Holding Shares,489.0
% Held by Institutions,0.968267
FCF Growth 5yr,-1.326328849064628
