,GPC
Price/Earnings (TTM),22.34928
Price/Sales (TTM),1.22725
Price/Book (MRQ),7.15879
Price/Cash Flow (TTM),17.26834
5yr Low,49.68
5yr High,185.0
5yr Avg Return,0.13921666666666666
EPS Growth 5yr,0.0631854
Revenue Growth 5yr,0.0423013
Dividend Growth 5yr,0.0472912
Short Int Current Month,3191419.0
Short Int Prev Month,3167554.0
Short Int Pct of Float,0.0231332
Days to Cover,3.60449
Float,137.977
Shares Outstanding,140.962
Institutions Holding Shares,1365.0
% Held by Institutions,0.778702
FCF Growth 5yr,0.29336438924292246
