,GPC
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.21987951807228923
Growth 1yr High Est,0.21407624633431066
Growth 1yr Consensus Est,0.21697788220329994
Growth 2yr Low Est,0.12228543804849035
Growth 2yr High Est,0.15836662558261438
Growth 2yr Consensus Est,0.14032603181555237
Growth 5yr Low Est,0.11493860031681227
Growth 5yr High Est,0.134494345655157
Growth 5yr Consensus Est,0.12471647298598464
Growth 5yr Actual/Est,0.11808943624306384
Growth 3yr Historic,0.059345434415049525
