,GPC
% Below High,0.0001
% Held by Institutions,0.7787000000000001
52-Wk Range,['115.63 - 186.11']
Annual Dividend $,3.58
Annual Dividend %,0.0192
Ask,186.72
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,140.0
Bid Size,200.0
Closing Price,186.1
Day Change $,2.18
Day Change %,0.011899999999999999
Day High,186.11
Day Low,183.97
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",8.33
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.252
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,26.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.35
Prev Close,183.92
Shares Outstanding,141.2M
Short Interest,0.0231
Today's Open,184.52
Volume,404365.0
Volume 10-day Avg,817490.0
Volume Past Day,(Light)
