,RAPT
Price/Earnings (TTM),
Price/Sales (TTM),275.1154
Price/Book (MRQ),2.87012
Price/Cash Flow (TTM),
5yr Low,9.86
5yr High,51.21
5yr Avg Return,0.32260000000000005
Short Int Current Month,2773875.0
Short Int Prev Month,3059022.0
Short Int Pct of Float,0.0863954
Days to Cover,8.13966
Float,33.82437
Shares Outstanding,34.54832
Institutions Holding Shares,158.0
% Held by Institutions,0.8636929999999999
FCF Growth 5yr,0.267971644024704
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
