,RAPT
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.007575757575757569
Growth 1yr High Est,0.01976284584980248
Growth 1yr Consensus Est,0.013669301712780024
Growth 2yr Low Est,0.18987810435178853
Growth 2yr High Est,-0.0889557863774244
Growth 2yr Consensus Est,0.050461158987182064
Growth 5yr Low Est,0.16456008644549613
Growth 5yr High Est,-0.002205092152850918
Growth 5yr Consensus Est,0.08117749714632261
Growth 5yr Actual/Est,-0.09550991592218572
Growth 3yr Historic,-0.1549757156385662
