,MODV
Price/Earnings (TTM),
Price/Sales (TTM),0.491
Price/Book (MRQ),3.34469
Price/Cash Flow (TTM),17.93984
5yr Low,40.4
5yr High,211.94
5yr Avg Return,0.1708
EPS Growth 5yr,
Revenue Growth 5yr,0.1010803
Dividend Growth 5yr,
Short Int Current Month,595844.0
Short Int Prev Month,672930.0
Short Int Pct of Float,0.0427204
Days to Cover,7.04207
Float,13.94856
Shares Outstanding,14.13832
Institutions Holding Shares,248.0
% Held by Institutions,1.032364
FCF Growth 5yr,-0.49459743736852163
