,MODV
% Above Low,0.1235
% Held by Institutions,1.0324
52-Wk Range,['75.00 - 154.31']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,84.26
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.03
Ex-dividend Date,No dividend
Historical Volatility,0.46799999999999997
Last (size),96.0
Last (time),1:00p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,84.26
Shares Outstanding,14.1M
Short Interest,0.042699999999999995
Today's Open,
Volume,24373.0
Volume 10-day Avg,53926.0
Volume Past Day,(Light)
