,VRTX
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.12145748987854255
Growth 1yr High Est,0.1574212893553224
Growth 1yr Consensus Est,0.13943938961693247
Growth 2yr Low Est,0.09574679548078757
Growth 2yr High Est,0.1719748933823244
Growth 2yr Consensus Est,0.133860844431556
Growth 5yr Low Est,0.14506651085090438
Growth 5yr High Est,0.18814794660986922
Growth 5yr Consensus Est,0.1666072287303868
Growth 5yr Actual/Est,0.3508940314207344
Growth 3yr Historic,0.2994595095772067
