,VRTX
Price/Earnings (TTM),24.70122
Price/Sales (TTM),9.23381
Price/Book (MRQ),6.16481
Price/Cash Flow (TTM),23.51204
5yr Low,136.5
5yr High,323.61
5yr Avg Return,0.1537
EPS Growth 5yr,
Revenue Growth 5yr,0.34793419999999997
Dividend Growth 5yr,
Short Int Current Month,3032365.0
Short Int Prev Month,2836024.0
Short Int Pct of Float,0.0118345
Days to Cover,2.11013
Float,256.2058
Shares Outstanding,256.6914
Institutions Holding Shares,1649.0
% Held by Institutions,0.937183
FCF Growth 5yr,0.3482245798508709
