,VRTX
% Below High,0.025699999999999997
% Held by Institutions,0.9372
52-Wk Range,['185.46 - 323.61']
Annual Dividend $,
Annual Dividend %,
Ask,318.89
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,0.4
Bid,314.71
Bid Size,600.0
Closing Price,315.3
Day Change $,2.32
Day Change %,0.0074
Day High,320.93
Day Low,313.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",12.67
Ex-dividend Date,No dividend
Historical Volatility,0.324
Last (size),11.0
Last (time),3:59p ET 11/28/22
Market Cap,80.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.7
Prev Close,312.98
Shares Outstanding,256.7M
Short Interest,0.0118
Today's Open,313.78
Volume,1113488.0
Volume 10-day Avg,1223776.0
Volume Past Day,(Average)
