,CSTL
% Above Low,0.3652
% Held by Institutions,0.8268000000000001
52-Wk Range,['15.58 - 48.40']
Annual Dividend $,
Annual Dividend %,
Ask,24.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,20.3
Bid Size,100.0
Closing Price,21.27
Day Change $,0.2
Day Change %,0.0095
Day High,21.32
Day Low,20.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.06
Ex-dividend Date,No dividend
Historical Volatility,0.85
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,560.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,21.07
Shares Outstanding,26.4M
Short Interest,0.0424
Today's Open,20.92
Volume,40954.0
Volume 10-day Avg,218210.0
Volume Past Day,(Light)
