,TYL
Price/Earnings (TTM),74.62976
Price/Sales (TTM),7.52261
Price/Book (MRQ),5.40656
Price/Cash Flow (TTM),40.20898
5yr Low,173.26
5yr High,557.55
5yr Avg Return,0.15735
EPS Growth 5yr,0.0554361
Revenue Growth 5yr,0.15945869999999998
Dividend Growth 5yr,
Short Int Current Month,580228.0
Short Int Prev Month,542103.0
Short Int Pct of Float,0.014105099999999999
Days to Cover,1.34125
Float,41.17979
Shares Outstanding,41.6399
Institutions Holding Shares,866.0
% Held by Institutions,0.909119
FCF Growth 5yr,0.5805587736915093
