,VCSA
Price/Earnings (TTM),0.74659
Price/Sales (TTM),0.56932
Price/Book (MRQ),0.88917
Price/Cash Flow (TTM),
5yr Low,1.5
5yr High,11.0
5yr Avg Return,-0.5068
Short Int Current Month,12130614.0
Short Int Prev Month,12712586.0
Short Int Pct of Float,0.10655279999999999
Days to Cover,2.97434
Float,223.3826
Shares Outstanding,438.0714
Institutions Holding Shares,134.0
% Held by Institutions,0.826519
FCF Growth 5yr,0.695297300354112
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
