,VCSA
% Above Low,0.014499999999999999
% Held by Institutions,0.8265
52-Wk Range,['1.38 - 11.00']
Annual Dividend $,
Annual Dividend %,
Ask,1.41
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,
Bid,1.39
Bid Size,700.0
Closing Price,1.4
Day Change $,-0.11
Day Change %,-0.0728
Day High,1.53
Day Low,1.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.02
Ex-dividend Date,No dividend
Historical Volatility,1.09
Last (size),49.0
Last (time),3:59p ET 11/28/22
Market Cap,328.2M
"P/E Ratio (TTM, GAAP)",0.75
Prev Close,1.51
Shares Outstanding,234.5M
Short Interest,0.1066
Today's Open,1.49
Volume,4404947.0
Volume 10-day Avg,3150229.0
Volume Past Day,(Heavy Day)
