,FE
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.06976744186046513
Growth 1yr High Est,-0.05283018867924538
Growth 1yr Consensus Est,-0.061298815269855256
Growth 2yr Low Est,-0.04113372093023254
Growth 2yr High Est,-0.004502743742013038
Growth 2yr Consensus Est,-0.02281823233612279
Growth 5yr Low Est,0.003901224641266715
Growth 5yr High Est,0.006537690628993481
Growth 5yr Consensus Est,0.005219457635130098
Growth 5yr Actual/Est,-0.0046568097536000275
Growth 3yr Historic,0.003555674483474408
