,FE
% Above Low,0.1285
% Held by Institutions,0.8826
52-Wk Range,['35.32 - 48.85']
Annual Dividend $,1.56
Annual Dividend %,0.0391
Ask,39.95
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,37.82
Bid Size,100.0
Closing Price,39.86
Day Change $,0.35
Day Change %,0.0089
Day High,39.87
Day Low,39.6
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.2
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.237
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,22.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.14
Prev Close,39.51
Shares Outstanding,571.8M
Short Interest,0.009899999999999999
Today's Open,39.6
Volume,669663.0
Volume 10-day Avg,2872935.0
Volume Past Day,(Light)
