,FE
Price/Earnings (TTM),18.13813
Price/Sales (TTM),1.9084
Price/Book (MRQ),2.11529
Price/Cash Flow (TTM),8.34802
5yr Low,22.85
5yr High,52.52
5yr Avg Return,0.06201666666666667
EPS Growth 5yr,0.1189923
Revenue Growth 5yr,0.0079474
Dividend Growth 5yr,0.0161374
Short Int Current Month,5647891.0
Short Int Prev Month,6532613.0
Short Int Pct of Float,0.009885399999999999
Days to Cover,1.59569
Float,571.401
Shares Outstanding,571.7532
Institutions Holding Shares,922.0
% Held by Institutions,0.88262
FCF Growth 5yr,-1.3049226595755041
