,VSAT
% Above Low,0.2853
% Held by Institutions,0.8462999999999999
52-Wk Range,['25.38 - 52.72']
Annual Dividend $,
Annual Dividend %,
Ask,33.04
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,32.27
Bid Size,100.0
Closing Price,32.62
Day Change $,-1.75
Day Change %,-0.0509
Day High,34.22
Day Low,32.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.98
Ex-dividend Date,No dividend
Historical Volatility,0.622
Last (size),949.0
Last (time),3:59p ET 11/28/22
Market Cap,2.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,34.37
Shares Outstanding,75.6M
Short Interest,0.081
Today's Open,33.82
Volume,356800.0
Volume 10-day Avg,315861.0
Volume Past Day,(Above Average)
