,ETWO
Price/Earnings (TTM),
Price/Sales (TTM),2.9211
Price/Book (MRQ),0.64125
Price/Cash Flow (TTM),
5yr Low,4.89
5yr High,14.58
5yr Avg Return,-0.1425
Short Int Current Month,14512512.0
Short Int Prev Month,13144655.0
Short Int Pct of Float,0.0609839
Days to Cover,8.04208
Float,276.6614
Shares Outstanding,302.2546
Institutions Holding Shares,207.0
% Held by Institutions,1.045155
FCF Growth 5yr,-0.4502923976608188
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
