,ETWO
% Above Low,0.1902
% Held by Institutions,1.0452
52-Wk Range,['4.89 - 12.55']
Annual Dividend $,
Annual Dividend %,
Ask,9.5
Ask Size,500.0
B/A Ratio,7.4
B/A Size,3700x500
Beta,
Bid,5.35
Bid Size,3700.0
Closing Price,5.82
Day Change $,-0.02
Day Change %,-0.0034000000000000002
Day High,5.84
Day Low,5.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.26
Ex-dividend Date,No dividend
Historical Volatility,0.5810000000000001
Last (size),95.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.84
Shares Outstanding,302.3M
Short Interest,0.061
Today's Open,5.82
Volume,203952.0
Volume 10-day Avg,1248804.0
Volume Past Day,(Light)
