,PVAC
% Below High,0.22210000000000002
% Held by Institutions,0.8571
52-Wk Range,['23.98 - 53.59']
Annual Dividend $,0.3
Annual Dividend %,0.0069
Ask,41.76
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.8
Bid,41.64
Bid Size,100.0
Day Change $,-1.68
Day Change %,-0.0387
Day High,42.18
Day Low,41.08
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",9.7
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.745
Last (size),10.0
Last (time),1:03p ET 11/28/22
Market Cap,795.9M
"P/E Ratio (TTM, GAAP)",4.47
Prev Close,43.37
Price,41.69
Shares Outstanding,19.1M
Short Interest,0.12990000000000002
Today's Open,41.55
Volume Past Day,(Light)
