,PVAC
Price/Earnings (TTM),4.47168
Price/Sales (TTM),1.63991
Price/Book (MRQ),4.07828
Price/Cash Flow (TTM),2.81014
5yr Low,0.99
5yr High,96.13
5yr Avg Return,0.25415000000000004
EPS Growth 5yr,-0.4924648
Revenue Growth 5yr,0.3440893
Dividend Growth 5yr,
Short Int Current Month,2466953.0
Short Int Prev Month,2562063.0
Short Int Pct of Float,0.1299221
Days to Cover,5.41146
Float,18.96873
Shares Outstanding,41.63924
Institutions Holding Shares,237.0
% Held by Institutions,0.8571139999999999
FCF Growth 5yr,0.26166129244130687
