,GEF
Price/Earnings (TTM),9.32403
Price/Sales (TTM),0.56125
Price/Book (MRQ),2.04216
Price/Cash Flow (TTM),5.82058
5yr Low,23.65
5yr High,74.22
5yr Avg Return,0.0801
EPS Growth 5yr,0.38686410000000004
Revenue Growth 5yr,0.10823600000000001
Dividend Growth 5yr,0.011631
Short Int Current Month,1059412.0
Short Int Prev Month,1057198.0
Short Int Pct of Float,0.0431022
Days to Cover,5.05664
Float,29.99988
Shares Outstanding,47.61401
Institutions Holding Shares,305.0
% Held by Institutions,0.8808039999999999
FCF Growth 5yr,-1.006631263756628
