,GEF
% Below High,0.017
% Held by Institutions,0.8808
52-Wk Range,['53.65 - 74.22']
Annual Dividend $,2.0
Annual Dividend %,0.0274
Ask,80.0
Ask Size,500.0
B/A Ratio,13.0
B/A Size,6500x500
Beta,1.0
Bid,69.0
Bid Size,6500.0
Closing Price,72.96
Day Change $,-0.01
Day Change %,-0.0001
Day High,73.58
Day Low,72.81
Dividend Pay Date,2022-10-01 00:00:00
"EPS (TTM, GAAP)",7.82
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.349
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.32
Prev Close,72.97
Shares Outstanding,58.6M
Short Interest,0.0431
Today's Open,73.03
Volume,63706.0
Volume 10-day Avg,195144.0
Volume Past Day,(Light)
