,GEF
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,1.572347266881029
Growth 1yr High Est,1.48
Growth 1yr Consensus Est,1.5261736334405145
Growth 2yr Low Est,0.6861736334405145
Growth 2yr High Est,0.761712158808933
Growth 2yr Consensus Est,0.7239428961247237
Growth 5yr Low Est,0.2998687316138743
Growth 5yr High Est,0.3418950404434275
Growth 5yr Consensus Est,0.32088188602865086
Growth 5yr Actual/Est,0.22350897460523722
Growth 3yr Historic,0.1380654369784804
