,TDY
% Below High,0.1632
% Held by Institutions,0.9181999999999999
52-Wk Range,['325.00 - 493.97']
Annual Dividend $,
Annual Dividend %,
Ask,490.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,330.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,413.33
Day Change $,-6.84
Day Change %,-0.0163
Day High,418.99
Day Low,412.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",15.16
Ex-dividend Date,No dividend
Historical Volatility,0.298
Last (size),38.0
Last (time),4:10p ET 11/28/22
Last Trade,413.33
Market Cap,19.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.71
Prev Close,420.17
Shares Outstanding,46.9M
Short Interest,0.018000000000000002
Today's Open,417.59
Volume,154333.0
Volume 10-day Avg,233859.0
Volume Past Day,(Light)
