,TDY
Price/Earnings (TTM),27.70833
Price/Sales (TTM),3.63616
Price/Book (MRQ),2.57915
Price/Cash Flow (TTM),17.7694
5yr Low,172.8
5yr High,493.97
5yr Avg Return,0.18515
EPS Growth 5yr,0.1332725
Revenue Growth 5yr,0.1650311
Dividend Growth 5yr,
Short Int Current Month,833122.0
Short Int Prev Month,780343.0
Short Int Pct of Float,0.0180225
Days to Cover,2.45096
Float,46.25561
Shares Outstanding,46.87109
Institutions Holding Shares,798.0
% Held by Institutions,0.918203
FCF Growth 5yr,-2.044398627697186
