,BMRC
% Below High,0.1231
% Held by Institutions,0.4962
52-Wk Range,['29.88 - 39.65']
Annual Dividend $,1.0
Annual Dividend %,0.0288
Ask,55.68
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,13.92
Bid Size,200.0
Closing Price,34.77
Day Change $,-0.02
Day Change %,-0.0006
Day High,35.03
Day Low,34.77
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",2.72
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.25
Last (size),7.0
Last (time),12:37p ET 11/25/22
Market Cap,559.7M
"P/E Ratio (TTM, GAAP)",12.8
Prev Close,34.79
Shares Outstanding,16.0M
Short Interest,0.0141
Today's Open,34.87
Volume,12439.0
Volume 10-day Avg,28077.0
Volume Past Day,(Light)
