,BMRC
Price/Earnings (TTM),12.79537
Price/Sales (TTM),4.10418
Price/Book (MRQ),1.4053
Price/Cash Flow (TTM),11.9452
5yr Low,23.8
5yr High,47.77
5yr Avg Return,0.010250000000000002
EPS Growth 5yr,0.0402334
Revenue Growth 5yr,0.075126
Dividend Growth 5yr,0.13008609999999998
Short Int Current Month,202827.0
Short Int Prev Month,255825.0
Short Int Pct of Float,0.0141044
Days to Cover,5.96919
Float,14.38378
Shares Outstanding,16.02862
Institutions Holding Shares,149.0
% Held by Institutions,0.496166
FCF Growth 5yr,0.3122271960275976
