,LW
Price/Earnings (TTM),30.99791
Price/Sales (TTM),2.92221
Price/Book (MRQ),24.29609
Price/Cash Flow (TTM),28.1679
5yr Low,39.06
5yr High,96.32
5yr Avg Return,0.10133333333333333
EPS Growth 5yr,-0.090739
Revenue Growth 5yr,0.05287410000000001
Dividend Growth 5yr,0.3833895
Short Int Current Month,2649200.0
Short Int Prev Month,2642325.0
Short Int Pct of Float,0.018985099999999998
Days to Cover,1.61184
Float,139.5818
Shares Outstanding,143.8312
Institutions Holding Shares,778.0
% Held by Institutions,0.879723
FCF Growth 5yr,-1.7883557207785967
