,LW
% Below High,0.0215
% Held by Institutions,0.8797
52-Wk Range,['49.71 - 88.04']
Annual Dividend $,0.98
Annual Dividend %,0.011399999999999999
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.5
Bid,84.3
Bid Size,
Closing Price,86.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",2.78
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.31
Last (size),48.0
Last (time),5:00p ET 11/25/22
Market Cap,12.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.0
Prev Close,86.15
Shares Outstanding,143.8M
Short Interest,0.019
Today's Open,
Volume,493827.0
Volume 10-day Avg,1505753.0
Volume Past Day,(Light)
