,CACC
Price/Earnings (TTM),10.82359
Price/Sales (TTM),3.36376
Price/Book (MRQ),3.88742
Price/Cash Flow (TTM),9.47528
5yr Low,199.0
5yr High,703.27
5yr Avg Return,0.15243333333333334
EPS Growth 5yr,0.295581
Revenue Growth 5yr,0.1387619
Dividend Growth 5yr,
Short Int Current Month,1039890.0
Short Int Prev Month,1070352.0
Short Int Pct of Float,0.1199842
Days to Cover,6.62127
Float,8.67645
Shares Outstanding,12.92471
Institutions Holding Shares,315.0
% Held by Institutions,0.604894
FCF Growth 5yr,0.18120687946157812
