,CACC
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.4064123231237685
Growth 1yr High Est,-0.28439442298001005
Growth 1yr Consensus Est,-0.3454033730518893
Growth 2yr Low Est,-0.4185048942112506
Growth 2yr High Est,-0.01754932416606142
Growth 2yr Consensus Est,-0.218027109188656
Growth 5yr Low Est,-0.055973048088000354
Growth 5yr High Est,0.1653490198776418
Growth 5yr Consensus Est,0.054687985894820726
Growth 5yr Actual/Est,0.2008499258241338
Growth 3yr Historic,0.30372894008920115
