,CACC
% Above Low,0.2023
% Held by Institutions,0.6049
52-Wk Range,['397.58 - 699.08']
Annual Dividend $,
Annual Dividend %,
Ask,768.11
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,475.87
Bid Size,200.0
Closing Price,477.99
Day Change $,-2.08
Day Change %,-0.0043
Day High,483.56
Day Low,475.93
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",44.16
Ex-dividend Date,No dividend
Historical Volatility,0.49200000000000005
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,6.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.82
Prev Close,480.07
Shares Outstanding,12.9M
Short Interest,0.12
Today's Open,475.93
Volume,44804.0
Volume 10-day Avg,108620.0
Volume Past Day,(Light)
