,ADT
Price/Earnings (TTM),
Price/Sales (TTM),1.34096
Price/Book (MRQ),2.56337
Price/Cash Flow (TTM),4.72937
5yr Low,3.41
5yr High,17.21
5yr Avg Return,-0.016860000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.1246415
Dividend Growth 5yr,
Short Int Current Month,12905997.0
Short Int Prev Month,35345499.0
Short Int Pct of Float,0.0153135
Days to Cover,1.86959
Float,788.4484
Shares Outstanding,913.4673
Institutions Holding Shares,284.0
% Held by Institutions,1.058388
FCF Growth 5yr,1.146201814058957
