,VC
Price/Earnings (TTM),34.71011
Price/Sales (TTM),1.1919
Price/Book (MRQ),7.45789
Price/Cash Flow (TTM),17.64014
5yr Low,38.69
5yr High,152.1
5yr Avg Return,0.08039999999999999
EPS Growth 5yr,-0.1497356
Revenue Growth 5yr,-0.025851700000000002
Dividend Growth 5yr,
Short Int Current Month,965997.0
Short Int Prev Month,1132426.0
Short Int Pct of Float,0.0346387
Days to Cover,2.70042
Float,27.89045
Shares Outstanding,28.14279
Institutions Holding Shares,345.0
% Held by Institutions,1.050268
FCF Growth 5yr,1.1843033509700176
