,VC
% Below High,0.0588
% Held by Institutions,1.0503
52-Wk Range,['88.82 - 152.10']
Annual Dividend $,
Annual Dividend %,
Ask,144.09
Ask Size,100.0
B/A Ratio,12.0
B/A Size,1200x100
Beta,1.8
Bid,142.58
Bid Size,1200.0
Closing Price,143.15
Day Change $,-4.15
Day Change %,-0.0282
Day High,146.95
Day Low,143.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.24
Ex-dividend Date,No dividend
Historical Volatility,0.522
Last (size),311.0
Last (time),4:00p ET 11/28/22
Market Cap,4.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.71
Prev Close,147.3
Shares Outstanding,28.1M
Short Interest,0.0346
Today's Open,145.28
Volume,135952.0
Volume 10-day Avg,247622.0
Volume Past Day,(Light)
