,VC
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.12167300380228152
Growth 2yr High Est,0.4668989547038327
Growth 2yr Consensus Est,0.2942859792530571
Growth 5yr Low Est,0.12167300380228152
Growth 5yr High Est,0.4668989547038327
Growth 5yr Consensus Est,0.2942859792530571
Growth 5yr Actual/Est,0.6249472628726098
Growth 3yr Historic,0.13135955934348129
