,INSW
Price/Earnings (TTM),16.39945
Price/Sales (TTM),3.53485
Price/Book (MRQ),1.65174
Price/Cash Flow (TTM),8.97947
5yr Low,12.44
5yr High,48.12
5yr Avg Return,0.3668333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0730811
Dividend Growth 5yr,
Short Int Current Month,1493268.0
Short Int Prev Month,1613367.0
Short Int Pct of Float,0.0443498
Days to Cover,1.95248
Float,34.95584
Shares Outstanding,49.07842
Institutions Holding Shares,224.0
% Held by Institutions,0.6546989999999999
FCF Growth 5yr,-0.8002958855842364
