,INSW
% Below High,0.0703
% Held by Institutions,0.6547
52-Wk Range,['13.05 - 48.12']
Annual Dividend $,0.48
Annual Dividend %,0.010700000000000001
Ask,44.74
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.0
Bid,44.26
Bid Size,100.0
Closing Price,44.74
Day Change $,1.69
Day Change %,0.0393
Day High,44.79
Day Low,42.61
Dividend Pay Date,2022-12-22 00:00:00
"EPS (TTM, GAAP)",2.73
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.47500000000000003
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",16.4
Prev Close,43.05
Shares Outstanding,49.1M
Short Interest,0.0443
Today's Open,43.21
Volume,322164.0
Volume 10-day Avg,720285.0
Volume Past Day,(Light)
