,K
Price/Earnings (TTM),16.76952
Price/Sales (TTM),1.66724
Price/Book (MRQ),7.15592
Price/Cash Flow (TTM),12.68263
5yr Low,51.34
5yr High,77.17
5yr Avg Return,0.0269
EPS Growth 5yr,0.1700452
Revenue Growth 5yr,0.0180916
Dividend Growth 5yr,0.025171100000000002
Short Int Current Month,11304405.0
Short Int Prev Month,12234880.0
Short Int Pct of Float,0.035647899999999996
Days to Cover,3.50475
Float,317.1859
Shares Outstanding,341.2811
Institutions Holding Shares,1210.0
% Held by Institutions,0.77633
FCF Growth 5yr,0.5179819740901132
