,K
% Below High,0.056600000000000004
% Held by Institutions,0.7763
52-Wk Range,['59.54 - 77.17']
Annual Dividend $,2.36
Annual Dividend %,0.032400000000000005
Ask,76.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,68.1
Bid Size,100.0
Closing Price,72.8
Day Change $,0.29
Day Change %,0.004
Day High,72.9
Day Low,72.46
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",4.34
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.23
Last (size),516.0
Last (time),5:00p ET 11/25/22
Market Cap,24.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.77
Prev Close,72.51
Shares Outstanding,341.3M
Short Interest,0.0356
Today's Open,72.84
Volume,1045005.0
Volume 10-day Avg,2263524.0
Volume Past Day,(Light)
