,NRDS
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.7472527472527473
Growth 1yr High Est,-0.765625
Growth 1yr Consensus Est,-0.7564388736263736
Growth 2yr Low Est,-0.13449593884376487
Growth 2yr High Est,-2.749479166666667
Growth 2yr Consensus Est,-1.441987552755216
Growth 5yr Low Est,-0.13449593884376487
Growth 5yr High Est,-2.749479166666667
Growth 5yr Consensus Est,-1.441987552755216
Growth 5yr Actual/Est,-0.936777920410783
Growth 3yr Historic,0.0
