,NRDS
Price/Earnings (TTM),
Price/Sales (TTM),2.01408
Price/Book (MRQ),3.13803
Price/Cash Flow (TTM),172.3778
5yr Low,7.07
5yr High,34.44
5yr Avg Return,-0.24134999999999998
Short Int Current Month,1557617.0
Short Int Prev Month,1835379.0
Short Int Pct of Float,0.037349
Days to Cover,2.20963
Float,41.73007
Shares Outstanding,74.33392
Institutions Holding Shares,87.0
% Held by Institutions,0.517089
FCF Growth 5yr,0.8282596283844125
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
