,NRDS
% Above Low,0.9024
% Held by Institutions,0.5171
52-Wk Range,['7.07 - 23.98']
Annual Dividend $,
Annual Dividend %,
Ask,13.78
Ask Size,300.0
Ask close,16.73
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,13.4
Bid Size,100.0
Bid close,10.34
Change Since Close,0.00| |(0.00%)
Closing Price,13.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.41
Ex-dividend Date,No dividend
Historical Volatility,0.821
Last (size),10.0
Last (time),1:00p ET 11/25/22
Last Trade,13.45
Market Cap,999.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,13.45
Shares Outstanding,74.3M
Short Interest,0.0373
Today's Open,
Volume,10.0
Volume 10-day Avg,487639.0
Volume Past Day,(Light)
