,ADTN
% Above Low,0.24480000000000002
% Held by Institutions,0.8874
52-Wk Range,['16.30 - 25.47']
Annual Dividend $,0.36
Annual Dividend %,0.0177
Ask,24.0
Ask Size,2000.0
B/A Ratio,0.3
B/A Size,600x2000
Beta,1.4
Bid,19.4
Bid Size,600.0
Closing Price,20.29
Day Change $,0.04
Day Change %,0.002
Day High,20.84
Day Low,20.26
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",-0.28
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.45
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,20.25
Shares Outstanding,77.7M
Short Interest,0.028300000000000002
Today's Open,20.78
Volume,159444.0
Volume 10-day Avg,455624.0
Volume Past Day,(Light)
